Ticker,Name,Exchange,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL
600089,TBEA LTD A,XSHG,0.02,14.33,"81,442","1,166,698","1,166,698",Industrials,BP3R4H7
600426,SHANDONG HUALU-HENGSHENG CHEMICAL,XSHG,0.02,41.74,"27,837","1,161,896","1,161,896",Materials,BP3RDC5
603806,HANGZHOU FIRST APPLIED MATERIAL LT,XSHG,0.02,112.55,"10,257","1,154,468","1,154,468",Information Technology,BYYFJR8
600150,CHINA CSSC HOLDINGS LTD A,XSHG,0.02,20.26,"56,800","1,150,602","1,150,602",Industrials,BP3R4N3
938,UNISPLENDOUR CORP LTD A,XSHE,0.02,26.27,"43,308","1,137,855","1,137,855",Information Technology,BD5CBG4
2414,WUHAN GUIDE INFRARED LTD A,XSHE,0.02,30.69,"37,009","1,135,764","1,135,764",Information Technology,BD5CGD6
425,XCMG CONSTRUCTION MACHINERY LTD A,XSHE,0.02,7.59,"149,539","1,135,505","1,135,505",Industrials,BD5CM27
600176,CHINA JUSHI LTD A,XSHG,0.02,19,"59,305","1,126,531","1,126,531",Materials,BP3RDW5
600161,BEIJING TIANTAN BIOLOGICAL PRODUCT,XSHG,0.02,39.06,"28,534","1,114,497","1,114,497",Health Care,BP3R9J4
2508,HANGZHOU ROBAM APPLIANCES LTD A,XSHE,0.02,52.03,"20,629","1,073,234","1,073,234",Consumer Discretionary,BD5CGX6
975,YINTAI GOLD LTD A,XSHE,0.02,13.76,"77,894","1,071,463","1,071,463",Materials,BD5CF40
300558,BETTA PHARMACEUTICALS LTD A,XSHE,0.02,129.73,"8,219","1,066,252","1,066,252",Health Care,BD6QWL7
600998,JOINTOWN PHARMACEUTICAL GROUP CO L,XSHG,0.02,20.05,"52,660","1,055,878","1,055,878",Health Care,BP3R541
300253,WINNING HEALTH TECHNOLOGY GROUP LT,XSHE,0.02,19.54,"53,963","1,054,513","1,054,513",Health Care,BD5CKZ6
603882,GUANGZHOU KINGMED DIAGNOSTICS GROU,XSHG,0.02,175,"5,907","1,033,721","1,033,721",Health Care,BFYX689
603707,NANJING KING-FRIEND BIOCHEMICAL PH,XSHG,0.02,53.24,"19,388","1,032,188","1,032,188",Health Care,BF2DZL7
600362,JIANGXI COPPER LTD A,XSHG,0.02,29.85,"34,320","1,024,517","1,024,517",Materials,BP3R4R7
2007,HUALAN BIOLOGICAL ENGINEERING INC,XSHE,0.02,44.88,"22,508","1,010,180","1,010,180",Health Care,BD5CL19
600109,SINOLINK SECURITIES LTD A,XSHG,0.02,15.19,"66,188","1,005,180","1,005,180",Financials,BP3R4V1
601021,SPRING AIRLINES LTD A,XSHG,0.02,74.07,"13,540","1,002,849","1,002,849",Industrials,BZ0D1W2
300003,LEPU MEDICAL TECHNOLOGY BEIJING LT,XSHE,0.02,37.52,"26,514","994,753","994,753",Health Care,BD5CM16
2353,YANTAI JEREH OILFIELD SERVICES GRO,XSHE,0.02,48.99,"20,258","992,500","992,500",Energy,BD5CMC7
2236,ZHEJIANG DAHUA TECHNOLOGY LTD A,XSHE,0.02,25.76,"38,460","990,887","990,887",Information Technology,BD5CNJ1
601377,INDUSTRIAL SECURITIES LTD A,XSHG,0.02,11.71,"84,037","983,690","983,690",Financials,BP3R5B8
600188,YANZHOU COAL MINING LTD A,XSHG,0.02,18.11,"54,300","983,377","983,377",Energy,BP3R5S5
600845,SHANGHAI BAOSIGHT SOFTWARE LTD A,XSHG,0.02,61.38,"15,934","977,993","977,993",Information Technology,BP3RCN9
601966,SHANDONG LINGLONG TYRE CO LTD A,XSHG,0.02,54.73,"17,855","977,213","977,213",Consumer Discretionary,BYW5N12
600143,KINGFA SCI&TECH LTD A,XSHG,0.02,24.62,"39,614","975,450","975,450",Materials,BP3R8H5
2690,HEFEI MEYER OPTOELECTRONIC TECHNOL,XSHE,0.02,59.02,"16,514","974,731","974,731",Industrials,BD5CHY4
2601,LOMON BILLIONS GROUP LTD A,XSHE,0.02,43.85,"22,202","973,555","973,555",Materials,BD5LS71
601689,NINGBO TUOPU GROUP CLS LTD A,XSHG,0.02,48.07,"20,232","972,575","972,575",Consumer Discretionary,BYQDMF9
2024,SUNING.COM LTD A,XSHE,0.02,7.53,"128,424","967,382","967,382",Consumer Discretionary,BD5CPK6
963,HUADONG MEDICINE LTD A,XSHE,0.02,58.08,"16,573","962,533","962,533",Health Care,BD5CM94
688185,CANSINO BIOLOGICS INC A,XSHG,0.02,796.94,"1,207","961,907","961,907",Health Care,BMD9JD3
600958,ORIENT SECURITIES LTD A,XSHG,0.02,11.54,"82,949","956,868","956,868",Financials,BZ0D003
2648,ZHEJIANG SATELLITE PETROCHEMICAL L,XSHE,0.02,42.93,"22,260","955,578","955,578",Materials,BFCCQG6
601117,CHINA NATIONAL CHEMICAL ENGINEERIN,XSHG,0.02,8.47,"111,017","939,951","939,951",Industrials,BP3R4J9
601901,FOUNDER SECURITIES LTD A,XSHG,0.02,11.61,"80,971","939,943","939,943",Financials,BP3R411
601216,INNER MONGOLIA JUNZHENG ENERGY & C,XSHG,0.02,6.7,"137,548","920,987","920,987",Materials,BP3R7B2
601607,SHANGHAI PHARMACEUTICALS HOLDING L,XSHG,0.02,25.99,"35,363","919,245","919,245",Health Care,BP3R4Z5
300676,BGI GENOMICS LTD A,XSHE,0.02,145.03,"6,339","919,320","919,320",Health Care,BFY8H58
600183,SHENGYI TECHNOLOGY LTD A,XSHG,0.02,27.26,"33,639","916,867","916,867",Information Technology,BP3RC39
2064,HUAFON CHEMICAL LTD A,XSHE,0.02,15.51,"59,100","916,892","916,892",Materials,BD5M089
600779,SICHUAN SWELLFUN LTD A,XSHG,0.02,148.29,"6,174","915,537","915,537",Consumer Staples,BFB4JK8
601788,EVERBRIGHT SECURITIES LTD A,XSHG,0.02,20.9,"43,562","910,444","910,444",Financials,BZ0D1Y4
300357,ZHEJIANG WOLWO BIO-PHARMACEUTICAL,XSHE,0.02,86.55,"10,451","904,507","904,507",Health Care,BFY8GY0
300347,HANGZHOU TIGERMED CONSULTING LTD A,XSHE,0.02,223.19,"4,045","902,810","902,810",Health Care,BD5CCK5
2568,SHANGHAI BAIRUN INVESTMENT HOLDING,XSHE,0.02,97.83,"9,195","899,531","899,531",Consumer Staples,BD5CLV9
2791,GUANGDONG KINLONG HARDWARE PRODUCT,XSHE,0.02,221.49,"4,052","897,492","897,492",Industrials,BD73MS4
600038,AVICOPTER PLC A,XSHG,0.02,62.51,"14,338","896,208","896,208",Industrials,BP3R6T3
603939,YIFENG PHARMACY CHAIN LTD A,XSHG,0.02,69.6,"12,834","893,270","893,270",Consumer Staples,BYYFJV2
601985,CHINA NATIONAL NUCLEAR POWER LTD A,XSHG,0.02,6.19,"144,126","891,606","891,606",Utilities,BYQDNJ0
709,HBIS COMPANY LTD A,XSHE,0.02,3.09,"287,713","889,938","889,938",Materials,BD5CNS0
601799,CHANGZHOU XINGYU AUTOMOTIVE LIGHTI,XSHG,0.02,254.45,"3,485","886,761","886,761",Consumer Discretionary,BS7K3D2
600460,HANGZHOU SILAN MICROELECTRONICS LT,XSHG,0.02,51.89,"17,000","882,165","882,165",Information Technology,BP3RCV7
300144,SONGCHENG PERFORMANCE DEVELOPMENT,XSHE,0.02,20.56,"42,729","878,522","878,522",Consumer Discretionary,BD5CMV6
300207,SUNWODA ELECTRONIC LTD A,XSHE,0.02,41.73,"20,979","875,394","875,394",Industrials,BD5CCV6
2625,KUANG-CHI TECHNOLOGIES LTD A,XSHE,0.02,27.94,"31,342","875,550","875,550",Consumer Discretionary,BD5CBF3
600584,JCET GROUP LTD A,XSHG,0.02,41.1,"21,276","874,367","874,367",Information Technology,BP3RCQ2
300450,WUXI LEAD INTELLIGENT EQUIPMENT LT,XSHE,0.02,76.95,"11,342","872,797","872,797",Information Technology,BD6QWJ5
600298,ANGEL YEAST LTD A,XSHG,0.02,68.73,"12,530","861,168","861,168",Consumer Staples,BP3RH12
601933,YONGHUI SUPERSTORES LTD A,XSHG,0.02,6.45,"133,480","861,367","861,367",Consumer Staples,BP3R5Q3
300146,BY-HEALTH LTD A,XSHE,0.02,41.48,"20,681","857,942","857,942",Consumer Staples,BD5CKV2
600516,FANGDA CARBON NEW MATERIAL LTD A,XSHG,0.02,9.96,"85,949","855,942","855,942",Industrials,BP3R7V2
601108,CAITONG SECURITIES LTD A,XSHG,0.02,12.99,"65,885","855,926","855,926",Financials,BFY9KS5
300724,SHENZHEN S.C NEW ENERGY TECHNOLOGY,XSHE,0.02,135.86,"6,300","855,892","855,892",Information Technology,BKDQ8D3
600219,SHANDONG NANSHAN ALUMINIUM LTD A,XSHG,0.02,4.68,"182,165","852,928","852,928",Materials,BP3R9D8
601111,AIR CHINA LTD A,XSHG,0.02,10.14,"83,930","851,106","851,106",Industrials,BP3R4G6
630,TONGLING NONFERROUS METALS GROUP L,XSHE,0.02,3.43,"246,961","847,764","847,764",Materials,BD5CMD8
600061,SDIC CAPITAL LTD A,XSHG,0.02,16.46,"51,515","847,957","847,957",Financials,BYYFJ78
2340,GEM LTD A,XSHE,0.02,11.5,"73,753","848,102","848,102",Materials,BD5CFW8
2926,HUAXI SECURITIES LTD A,XSHE,0.02,11.86,"71,421","847,276","847,276",Financials,BHQPRV7
601995,CHINA INTERNATIONAL CAPITAL CORP L,XSHG,0.02,73.99,"11,454","847,515","847,515",Financials,BMYPCF3
603589,ANHUI KOUZI DISTILLERY LTD A,XSHG,0.02,74.79,"11,319","846,587","846,587",Consumer Staples,BYQDNL2
301,JIANGSU EASTERN SHENGHONG LTD A,XSHE,0.02,20.51,"41,100","843,035","843,035",Materials,BD5LSB5
2299,FUJIAN SUNNER DEVELOPMENT LTD A,XSHE,0.02,30.93,"27,188","840,965","840,965",Consumer Staples,BD5CHS8
977,INSPUR ELECTRONIC INFORMATION INDU,XSHE,0.02,36.01,"23,145","833,542","833,542",Information Technology,BD5CLB9
603345,FUJIAN ANJOY FOODS LTD A,XSHG,0.02,279.74,"2,964","829,154","829,154",Consumer Staples,BMXWM11
2555,WUHU SANQI INTERACTIVE ENTERTAINME,XSHE,0.02,31.25,"26,479","827,385","827,385",Communication,BD5CMH2
807,YUNNAN ALUMINIUM LTD A,XSHE,0.02,17.24,"47,500","818,744","818,744",Materials,BD5CB75
2607,OFFCN EDUCATION TECHNOLOGY LTD A,XSHE,0.02,31.31,"26,146","818,566","818,566",Consumer Discretionary,BHQPRN9
601555,SOOCHOW SECURITIES CO LTD A,XSHG,0.02,10,"81,336","812,962","812,962",Financials,BP3R6Z9
600029,CHINA SOUTHERN AIRLINES LTD A,XSHG,0.02,7.61,"106,083","806,814","806,814",Industrials,BP3R6G0
601877,ZHEJIANG CHINT ELECTRICS LTD A,XSHG,0.02,37.52,"21,501","806,675","806,675",Industrials,BP3R5K7
2153,BEIJING SHIJI INFORMATION TECHNOLO,XSHE,0.02,44.87,"17,974","806,472","806,472",Information Technology,BD5CMX8
600674,SICHUAN CHUANTOU ENERGY LTD A,XSHG,0.02,14.56,"55,369","805,950","805,950",Utilities,BP3R4Y4
2600,LINGYI ITECH (GUANGDONG) A,XSHE,0.02,9.63,"83,669","805,833","805,833",Information Technology,BD5LQY4
300285,SHANDONG SINOCERA FUNCTIONAL MATER,XSHE,0.02,62.47,"12,861","803,419","803,419",Materials,BD760X4
300033,HITHINK ROYALFLUSH INFORMATION NET,XSHE,0.02,132.5,"6,042","800,540","800,540",Financials,BD5CN46
601669,POWER CONSTRUCTION CORPORATION OF,XSHG,0.01,4.69,"169,833","797,248","797,248",Industrials,BP3R4M2
601618,METALLURGICAL CORP OF CHINA LTD A,XSHG,0.01,3.66,"216,678","793,747","793,747",Industrials,BP3R4K0
601198,DONGXING SECURITIES LTD A,XSHG,0.01,13.2,"60,088","793,007","793,007",Financials,BYQDMD7
603444,XIAMEN G-BITS NETWORK TECHNOLOGY L,XSHG,0.01,664.73,"1,180","784,373","784,373",Communication,BYZQW37
300070,BEIJING ORIGINWATER TECHNOLOGY LTD,XSHE,0.01,8.62,"90,849","783,520","783,520",Industrials,BD5CNZ7
728,GUOYUAN SECURITIES LTD A,XSHE,0.01,9.53,"81,975","781,563","781,563",Financials,BD5CNY6
600606,GREENLAND HOLDINGS GROUP CORPORATI,XSHG,0.01,6.87,"112,359","771,409","771,409",Real Estate,BZ3F5X4
402,FINANCIAL STREET HOLDINGS LTD A,XSHE,0.01,8.54,"89,618","765,294","765,294",Real Estate,BD5CMG1
600352,ZHEJIANG LONGSHENG GROUP LTD A,XSHG,0.01,16.95,"45,173","765,483","765,483",Materials,BP3R4W2
601939,CHINA CONSTRUCTION BANK CORP A,XSHG,0.01,8.2,"92,922","761,948","761,948",Financials,BP3R3L4
2920,HUIZHOU DESAY SV AUTOMOTIVE LTD A,XSHE,0.01,131.31,"5,800","761,581","761,581",Consumer Discretionary,BFY8GX9
600115,CHINA EASTERN AIRLINES CORP LTD A,XSHG,0.01,6.36,"119,382","758,805","758,805",Industrials,BP3R5X0
300223,INGENIC SEMICONDUCTOR LTD A,XSHE,0.01,112.37,"6,744","757,838","757,838",Information Technology,BD760S9
2074,GOTION HIGH-TECH LTD A,XSHE,0.01,43.67,"17,329","756,722","756,722",Industrials,BD5CJ71
600754,SHANGHAI JIN JIANG INTERNATIONAL H,XSHG,0.01,74.44,"10,141","754,913","754,913",Consumer Discretionary,BP3RD03
601881,CHINA GALAXY SECURITIES LTD A,XSHG,0.01,12.72,"59,285","754,363","754,363",Financials,BYWPH65
600010,INNER MONGOLIA BAOTOU STEEL UNION,XSHG,0.01,1.95,"385,663","753,172","753,172",Materials,BP3R488
603816,JASON FURNITURE HANGZHOU LTD,XSHG,0.01,93.9,"8,004","751,561","751,561",Consumer Discretionary,BYW5R09
723,SHANXI MEIJIN ENERGY LTD A,XSHE,0.01,8.92,"84,007","748,968","748,968",Energy,BFCCPV4
2938,AVARY HOLDING (SHENZHEN) LTD A,XSHE,0.01,35.66,"21,000","748,905","748,905",Information Technology,BKDQ800
2624,PERFECT WORLD LTD A,XSHE,0.01,25.7,"29,002","745,451","745,451",Communication,BD5M1C0
50,TIANMA MICROELECTRONICS LTD A,XSHE,0.01,16.97,"43,925","745,401","745,401",Information Technology,BD5CKM3
66,CHINA GREATWALL TECHNOLOGY GROUP L,XSHE,0.01,17.9,"41,574","744,335","744,335",Information Technology,BD5CKJ0
703,HENGYI PETROCHEMICAL LTD A,XSHE,0.01,15.65,"47,417","741,966","741,966",Materials,BD5M1L9
783,CHANGJIANG SECURITIES LTD A,XSHE,0.01,8.93,"82,336","735,069","735,069",Financials,BD5CP40
2065,DHC SOFTWARE LTD A,XSHE,0.01,10.12,"72,359","732,013","732,013",Information Technology,BD5CNL3
603517,JUEWEI FOOD LTD A,XSHG,0.01,93.91,"7,739","726,772","726,772",Consumer Staples,BFF1YN3
2405,NAVINFO LTD A,XSHE,0.01,16.95,"42,757","724,543","724,543",Consumer Discretionary,BD5CKR8
600872,JONJEE HI-TECH INDUSTRIAL AND COMM,XSHG,0.01,53.95,"13,414","723,741","723,741",Consumer Staples,BP3RB10
600177,YOUNGOR GROUP LTD A,XSHG,0.01,9.02,"80,200","723,782","723,782",Real Estate,BP3R6R1
600486,JIANGSU YANGNONG CHEMICAL LTD A,XSHG,0.01,138.89,"5,212","723,886","723,886",Materials,BP3RGP9
2459,JA SOLAR TECHNOLOGY LTD A,XSHE,0.01,47.19,"15,292","721,563","721,563",Information Technology,BMVB500
601992,BBMG CORP A,XSHG,0.01,3.34,"216,248","721,348","721,348",Materials,BP3R5N0
2511,C&S PAPER LTD A,XSHE,0.01,36.51,"19,700","719,272","719,272",Consumer Staples,BFY8GH3
601916,CHINA ZHESHANG BANK LTD A,XSHG,0.01,4.85,"147,325","714,820","714,820",Financials,BK96BF0
656,JINKE PROPERTY GROUP LTD A,XSHE,0.01,6.8,"104,777","712,999","712,999",Real Estate,BD5CKX4
600018,SHANGHAI INTERNATIONAL PORT (GROUP,XSHG,0.01,5.7,"124,350","708,931","708,931",Industrials,BP3R2L7
2444,HANG ZHOU GREAT STAR INDUSTRIAL LT,XSHE,0.01,40.03,"17,600","704,509","704,509",Consumer Discretionary,BD5CG70
2673,WESTERN SECURITIES CO LTD A,XSHE,0.01,10.06,"69,998","703,883","703,883",Financials,BD5CP73
300661,SG MICRO CORP A,XSHE,0.01,354.34,"1,985","703,367","703,367",Information Technology,BHQPSR0
600011,HUANENG POWER INTERNATIONAL INC A,XSHG,0.01,5.05,"138,052","696,621","696,621",Utilities,BP3R314
2558,GIANT NETWORK GROUP LTD A,XSHE,0.01,18.16,"38,216","693,949","693,949",Communication,BD6QVW1
601233,TONGKUN GROUP LTD A,XSHG,0.01,28.61,"24,161","691,358","691,358",Materials,BP3RGF9
601872,CHINA MERCHANTS ENERGY SHIPPING LT,XSHG,0.01,6.34,"108,820","690,352","690,352",Energy,BP3R8G4
601727,SHANGHAI ELECTRIC GROUP LTD A,XSHG,0.01,5.3,"130,253","690,446","690,446",Industrials,BP3R3T2
601878,ZHESHANG SECURITIES LTD A,XSHG,0.01,15.56,"44,339","690,038","690,038",Financials,BFB4KN8
629,PANGANG GROUP VANADIUM TITANIUM&RE,XSHE,0.01,2.73,"252,048","687,901","687,901",Materials,BKDQ7V4
600383,GEMDALE CORP A,XSHG,0.01,12.85,"53,563","688,052","688,052",Real Estate,BP3R3Q9
2202,XINJIANG GOLDWIND SCIENCE&TECHNOLO,XSHE,0.01,14.43,"47,522","685,965","685,965",Industrials,BD5CQ58
603456,ZHEJIANG JIUZHOU PHARMACEUTICAL LT,XSHG,0.01,50.8,"13,500","685,805","685,805",Health Care,BMQBVL8
601319,THE PEOPLES INSURANCE COMPANY (GRO,XSHG,0.01,7.29,"93,799","683,806","683,806",Financials,BDFS9G8
603638,YANTAI EDDIE PRECISION MACHINERY L,XSHG,0.01,51.73,"13,210","683,411","683,411",Industrials,BK947P6
2180,NINESTAR CORP A,XSHE,0.01,31.84,"21,353","679,905","679,905",Information Technology,BD5M2G1
2384,SUZHOU DONGSHAN PRECISION MANUFACT,XSHE,0.01,21.96,"30,896","678,330","678,330",Information Technology,BD5CF28
2507,CHONGQING FULING ZHACAI GROUP LTD,XSHE,0.01,46.49,"14,332","666,355","666,355",Consumer Staples,BFCCQ99
601699,SHANXI LUAN ENVIRONMENTAL ENERGY D,XSHG,0.01,15.38,"43,300","665,990","665,990",Energy,BP3R682
603160,SHENZHEN GOODIX TECHNOLOGY A,XSHG,0.01,147.29,"4,490","661,352","661,352",Information Technology,BYW5QT1
601098,CHINA SOUTH PUBLISHING & MEDIA GRO,XSHG,0.01,11.46,"57,526","659,411","659,411",Communication,BP3R507
860,BEIJING SHUNXIN AGRICULTURE LTD A,XSHE,0.01,55.83,"11,754","656,277","656,277",Consumer Staples,BD5C9L5
2032,ZHEJIANG SUPOR LTD A,XSHE,0.01,82.3,"7,960","655,123","655,123",Consumer Discretionary,BD5M227
2185,TIANSHUI HUATIAN TECHNOLOGY LTD A,XSHE,0.01,15.27,"42,837","654,192","654,192",Information Technology,BD5C9M6
603233,DASHENLIN PHARMACEUTICAL GROUP LTD,XSHG,0.01,64.98,"10,046","652,792","652,792",Consumer Staples,BFB4S78
2797,FIRST CAPITAL SECURITIES LTD A,XSHE,0.01,8.39,"77,612","651,471","651,471",Financials,BD73MV7
600170,SHANGHAI CONSTRUCTION GROUP LTD A,XSHG,0.01,3.55,"183,191","651,076","651,076",Industrials,BP3R6J3
300383,BEIJING SINNET TECHNOLOGY LTD A,XSHE,0.01,18.6,"34,987","650,593","650,593",Information Technology,BD5CJ48
600655,SHANGHAI YUYUAN TOURIST MART LTD A,XSHG,0.01,14.76,"43,980","649,241","649,241",Consumer Discretionary,BP3R8V9
2157,JIANGXI ZHENGBANG TECHNOLOGY LTD A,XSHE,0.01,14.45,"44,688","645,599","645,599",Consumer Staples,BD5LZ81
27,SHENZHEN ENERGY GROUP LTD A,XSHE,0.01,12.93,"49,720","642,908","642,908",Utilities,BD5CN68
600536,CHINA NATIONAL SOFTWARE & SERVICE,XSHG,0.01,78.75,"8,145","641,401","641,401",Information Technology,BP3R949
961,JIANGSU ZHONGNAN CONSTRUCTION GROU,XSHE,0.01,7.58,"84,073","637,378","637,378",Real Estate,BD5CGZ8
2603,SHIJIAZHUANG YILING PHARMACEUTICAL,XSHE,0.01,35,"18,137","634,704","634,704",Health Care,BD5CHJ9
603658,AUTOBIO DIAGNOSTICS LTD A,XSHG,0.01,94.49,"6,713","634,329","634,329",Health Care,BYW5N89
2385,BEIJING DABEINONG TECHNOLOGY GROUP,XSHE,0.01,9.58,"66,093","633,349","633,349",Consumer Staples,BD5CMP0
2013,AVIC ELECTROMECHANICAL SYSTEMS LTD,XSHE,0.01,12.23,"51,572","630,572","630,572",Industrials,BD5CJ82
601162,TIANFENG SECURITIES LTD A,XSHG,0.01,5.93,"106,050","629,042","629,042",Financials,BK94886
2736,GUOSEN SECURITIES LTD A,XSHE,0.01,13.15,"47,811","628,662","628,662",Financials,BD5CPR3
2252,SHANGHAI RAAS BLOOD PRODUCTS LTD A,XSHE,0.01,9.13,"68,729","627,762","627,762",Health Care,BD5CPJ5
600511,CHINA NATIONAL MEDICINES CORP LTD,XSHG,0.01,41.36,"15,026","621,524","621,524",Health Care,BP3R9B6
601990,NANJING SECURITIES LTD A,XSHG,0.01,11.32,"53,203","602,113","602,113",Financials,BG1VK81
600498,FIBERHOME TELECOMMUNICATION TECHNO,XSHG,0.01,22.55,"26,563","598,986","598,986",Information Technology,BP3R886
600885,HONGFA TECHNOLOGY LTD A,XSHG,0.01,68.41,"8,590","587,669","587,669",Industrials,BYQDM93
2916,SHENNAN CIRCUITS LTD A,XSHE,0.01,109.95,"5,316","584,474","584,474",Information Technology,BFY8GV7
2602,ZHEJIANG CENTURY HUATONG GROUP LTD,XSHE,0.01,8.35,"68,708","573,398","573,398",Communication,BD5CG58
2146,RISESUN REAL ESTATE DEVELOPMENT LT,XSHE,0.01,7.35,"77,901","572,632","572,632",Real Estate,BD5CMZ0
300699,WEIHAI GUANGWEI COMPOSITES LTD A,XSHE,0.01,84.04,"6,816","572,793","572,793",Materials,BFY8H81
2080,SINOMA SCIENCE & TECHNOLOGY LTD A,XSHE,0.01,25.7,"22,254","572,004","572,004",Materials,BD5LVM7
600079,HUMANWELL HEALTHCARE (GROUP) LTD A,XSHG,0.01,32.34,"17,565","568,026","568,026",Health Care,BP3R712
600705,AVIC CAPITAL LTD A,XSHG,0.01,4.82,"117,704","566,816","566,816",Financials,BP3R4C2
600332,GUANGZHOU BAIYUNSHAN PHARMACEUTICA,XSHG,0.01,36.27,"15,577","564,957","564,957",Health Care,BP3R4Q6
2456,O FILM TECH LTD A,XSHE,0.01,10.3,"53,943","555,524","555,524",Information Technology,BD5CLK8
2463,WUS PRINTED CIRCUIT (KUNSHAN) LTD,XSHE,0.01,18.35,"30,019","550,929","550,929",Information Technology,BD5C7Z5
603338,ZHEJIANG DINGLI MACHINERY LTD A,XSHG,0.01,71.59,"7,538","539,654","539,654",Industrials,BYZW440
800,FAW JIEFANG GROUP LTD A,XSHE,0.01,13.29,"40,376","536,777","536,777",Consumer Discretionary,BD5CLN1
2078,SHANDONG SUNPAPER LTD A,XSHE,0.01,16.24,"32,955","535,257","535,257",Materials,BD5CC94
423,DONG-E-E-JIAO LTD A,XSHE,0.01,43.3,"12,336","534,199","534,199",Health Care,BD5CM61
600233,YTO EXPRESS GROUP LTD A,XSHG,0.01,12.77,"41,536","530,534","530,534",Industrials,BYW5QJ1
600801,HUAXIN CEMENT LTD A,XSHG,0.01,25.12,"20,563","516,567","516,567",Materials,BP3RD36
300308,ZHONGJI INNOLIGHT LTD A,XSHE,0.01,47.14,"10,888","513,229","513,229",Information Technology,BFFJRM7
300136,SHENZHEN SUNWAY COMMUNICATION LTD,XSHE,0.01,32.97,"15,553","512,771","512,771",Information Technology,BD5CCF0
2044,MEINIAN ONEHEALTH HEALTHCARE HOLDI,XSHE,0.01,12.8,"39,577","506,472","506,472",Health Care,BD73L10
600522,JIANGSU ZHONGTIAN TECHNOLOGY LTD A,XSHG,0.01,12.05,"42,021","506,146","506,146",Industrials,BP3R9T4
300677,INTCO MEDICAL TECHNOLOGY LTD A,XSHE,0.01,122.03,"4,124","503,242","503,242",Health Care,BMTCVT6
600009,SHANGHAI INTERNATIONAL AIRPORT LTD,XSHG,0.01,59.26,"8,403","497,920","497,920",Industrials,BP3R4P5
547,ADDSINO LTD A,XSHE,0.01,22.29,"22,037","491,313","491,313",Information Technology,BD5CKF6
2373,CHINA TRANSINFO TECHNOLOGY LTD A,XSHE,0.01,21.19,"23,108","489,684","489,684",Information Technology,BD5CJ37
21,SHENZHEN KAIFA TECHNOLOGY LTD A,XSHE,0.01,21.96,"22,037","483,828","483,828",Information Technology,BD5CDW4
600521,ZHEJIANG HUAHAI PHARMACEUTICAL LTD,XSHG,0.01,25.41,"18,928","481,004","481,004",Health Care,BP3RBR6
2465,GUANGZHOU HAIGE COMMUNICATIONS GRO,XSHE,0.01,12.19,"38,611","470,693","470,693",Information Technology,BD5CM72
600489,ZHONGJIN GOLD CORP LTD A,XSHG,0.01,11.29,"40,671","459,298","459,298",Materials,BP3R585
600153,XIAMEN C&D INC A,XSHG,0.01,10,"44,914","448,920","448,920",Industrials,BP3R6L5
2506,GCL SYSTEM INTEGRATION TECHNOLOGY,XSHE,0.01,4.21,"105,183","442,726","442,726",Information Technology,BD6QVT8
2705,GUANGDONG XINBAO ELECTRICAL APPLIA,XSHE,0.01,36.17,"12,200","441,294","441,294",Consumer Discretionary,BHRV3N8
600369,SOUTHWEST SECURITIES LTD A,XSHG,0.01,6.2,"70,544","437,261","437,261",Financials,BP3R4S8
600340,CHINA FORTUNE LAND DEVELOPMENT LTD,XSHG,0.01,6.21,"69,931","434,310","434,310",Real Estate,BP3R3V4
600867,TONGHUA DONGBAO PHARMACEUTICAL LTD,XSHG,0.01,14.82,"28,083","416,270","416,270",Health Care,BP3R808
300251,BEIJING ENLIGHT MEDIA LTD A,XSHE,0.01,13.91,"29,943","416,600","416,600",Communication,BD5CN79
600066,YUTONG BUS LTD A,XSHG,0.01,15.9,"25,814","410,505","410,505",Industrials,BP3R5T6
1914,CHINA MERCHANTS PROPERTY OPERATION,XSHE,0.01,25.13,"16,084","404,244","404,244",Real Estate,BD5LS04
2120,YUNDA HOLDING LTD A,XSHE,0.01,16.86,"22,623","381,439","381,439",Industrials,BD6QV98
2798,PERENNIAL ENERGY HOLDINGS LTD,XHKG,0.01,2.22,"166,950","370,629","370,629",Energy,BF5DKP3
600739,LIAONING CHENG DA LTD A,XSHG,0.01,24.24,"14,224","344,729","344,729",Consumer Discretionary,BP3R5Z2
2422,SICHUAN KELUN PHARMACEUTICAL LTD A,XSHE,0.01,24.48,"13,725","335,965","335,965",Health Care,BD5CL08
2075,JIANGSU SHAGANG LTD A,XSHE,0.01,11.57,"29,008","335,681","335,681",Materials,BD5CN35
2127,NANJI E-COMMERCE CO LTD A,XSHE,0.01,11.31,"28,848","326,131","326,131",Communication,BD5LSJ3
627,HUBEI BIOCAUSE PHARMACEUTICAL LTD,XSHE,0,4.56,"55,849","254,720","254,720",Financials,BD5CFF1
2081,SUZHOU GOLD MANTIS CONSTRUCTION DE,XSHE,0,9.74,"24,013","233,896","233,896",Industrials,BD5CN91
600027,HUADIAN POWER INTERNATIONAL CORP L,XSHG,0,4.12,"51,677","213,126","213,126",Utilities,BP3R637
600895,SHANGHAI ZHANGJIANG HI-TECH PARK D,XSHG,0,22.09,"8,962","197,959","197,959",Real Estate,BP3R927
CNY,CNY CASH,-,0,121.44,"121,385","147,408","147,408",Cash and/or Derivatives,-
-,YUEXIU PROPERTY CO LTD NPV,XHKG,0,0,"3,650",0,0,Real Estate,9963921
